Stage,Team 1,FT,Team 2
B,Monarcas Morelia,02-Apr,Cruz Azul
B,Club Tijuana,0-1,Club Puebla
B,CF Pachuca,01-Jan,Querétaro FC
B,Club América,0-3,Club Necaxa
B,Tigres UANL,3-0,Pumas UNAM
B,CD Guadalajara Chivas,2-0,Club León
B,Santos Laguna,1-0,Club Atlas
B,Querétaro FC,01-Jan,Deportivo Toluca FC
B,Pumas UNAM,03-Mar,Club América
B,Club Puebla,0-0,Tigres UANL
B,CF Monterrey,02-Feb,Atlético San Luis
B,Cruz Azul,04-Feb,Club Tijuana
B,CF Pachuca,1-0,Santos Laguna
B,Club Atlas,01-Feb,CD Guadalajara Chivas
B,Club Necaxa,01-Feb,Monarcas Morelia
B,FC Juárez,01-Apr,Club León
B,Monarcas Morelia,4-0,Querétaro FC
B,Club Tijuana,03-Feb,CF Pachuca
B,CD Guadalajara Chivas,01-Jan,CF Monterrey
B,Tigres UANL,03-Feb,FC Juárez
B,Club León,03-Jan,Pumas UNAM
B,Atlético San Luis,0-1,Club Puebla
B,Deportivo Toluca FC,02-Mar,Club Atlas
B,Santos Laguna,02-Jan,Club Necaxa
B,Club América,0-1,Cruz Azul
B,Monarcas Morelia,01-Jan,Atlético San Luis
B,Club Puebla,01-Jan,Cruz Azul
B,Pumas UNAM,01-Jan,Club Tijuana
B,Club América,01-Jan,Club León
B,CF Pachuca,01-Jan,Deportivo Toluca FC
B,Club Necaxa,01-Jan,Tigres UANL
B,CF Monterrey,01-Jan,Santos Laguna
B,Querétaro FC,01-Jan,CD Guadalajara Chivas
B,FC Juárez,01-Jan,Club Atlas
B,Atlético San Luis,01-Jan,CF Pachuca
B,Club Atlas,01-Jan,CF Monterrey
B,Cruz Azul,01-Jan,Pumas UNAM
B,Tigres UANL,01-Jan,Querétaro FC
B,Club León,01-Jan,Club Puebla
B,CD Guadalajara Chivas,01-Jan,Monarcas Morelia
B,Deportivo Toluca FC,01-Jan,FC Juárez
B,Santos Laguna,01-Jan,Club América
B,Club Tijuana,01-Jan,Club Necaxa
B,Atlético San Luis,01-Jan,Club Atlas
B,Monarcas Morelia,01-Jan,Tigres UANL
B,Club América,01-Jan,Deportivo Toluca FC
B,Pumas UNAM,01-Jan,Club Puebla
B,Club Necaxa,01-Jan,CD Guadalajara Chivas
B,CF Monterrey,01-Jan,Club Tijuana
B,Club León,01-Jan,Cruz Azul
B,Querétaro FC,01-Jan,Santos Laguna
B,FC Juárez,01-Jan,CF Pachuca
B,Club Tijuana,01-Jan,FC Juárez
B,Club Puebla,01-Jan,Monarcas Morelia
B,Club Atlas,01-Jan,Pumas UNAM
B,Deportivo Toluca FC,01-Jan,Club León
B,CF Pachuca,01-Jan,Club Necaxa
B,Tigres UANL,01-Jan,CF Monterrey
B,Cruz Azul,01-Jan,Querétaro FC
B,CD Guadalajara Chivas,01-Jan,Club América
B,Santos Laguna,01-Jan,Atlético San Luis
B,Querétaro FC,01-Jan,Club Atlas
B,Monarcas Morelia,01-Jan,CF Pachuca
B,CF Monterrey,01-Jan,Cruz Azul
B,Club América,01-Jan,Atlético San Luis
B,Deportivo Toluca FC,01-Jan,Tigres UANL
B,CD Guadalajara Chivas,01-Jan,Santos Laguna
B,Club León,01-Jan,Club Tijuana
B,Club Necaxa,01-Jan,Pumas UNAM
B,FC Juárez,01-Jan,Club Puebla
B,Atlético San Luis,01-Jan,Deportivo Toluca FC
B,Club Puebla,01-Jan,CF Monterrey
B,Club Atlas,01-Jan,Club León
B,Cruz Azul,01-Jan,Club Necaxa
B,Tigres UANL,01-Jan,Club Tijuana
B,Querétaro FC,01-Jan,FC Juárez
B,Pumas UNAM,01-Jan,CD Guadalajara Chivas
B,CF Pachuca,01-Jan,Club América
B,Santos Laguna,01-Jan,Monarcas Morelia
B,Club Tijuana,01-Jan,Atlético San Luis
B,Santos Laguna,01-Jan,Deportivo Toluca FC
B,Club León,01-Jan,Tigres UANL
B,Club Necaxa,01-Jan,Club Atlas
B,CF Monterrey,01-Jan,CF Pachuca
B,CD Guadalajara Chivas,01-Jan,Club Puebla
B,Pumas UNAM,01-Jan,Querétaro FC
B,FC Juárez,01-Jan,Cruz Azul
B,Monarcas Morelia,01-Jan,Club América
A,Club Necaxa,0-3,Tigres UANL
A,CD Guadalajara Chivas,0-0,Club León
A,Club Tijuana,03-Jan,Club Atlas
A,Cruz Azul,2-0,Santos Laguna
A,Pumas UNAM,03-Feb,Querétaro FC
A,Mazatlán FC,01-Apr,Club Puebla
A,CF Pachuca,01-Feb,Club América
A,Atlético San Luis,01-Jan,FC Juárez
A,CF Monterrey,03-Jan,Deportivo Toluca FC
A,Club Puebla,01-Jan,Cruz Azul
A,FC Juárez,1-0,Club Necaxa
A,Tigres UANL,01-Jan,CF Pachuca
A,Club América,4-0,Club Tijuana
A,Deportivo Toluca FC,03-Feb,Atlético San Luis
A,Santos Laguna,2-0,CD Guadalajara Chivas
A,Querétaro FC,01-Jan,Mazatlán FC
A,Club León,1-0,CF Monterrey
A,Club Atlas,01-Feb,Pumas UNAM
A,CF Pachuca,1-0,Querétaro FC
A,Club Tijuana,0-0,Tigres UANL
A,Mazatlán FC,02-Jan,Deportivo Toluca FC
A,Club Necaxa,01-Jan,Club América
A,Cruz Azul,2-0,Club León
A,CF Monterrey,02-Feb,Santos Laguna
A,CD Guadalajara Chivas,0-1,Club Puebla
A,Atlético San Luis,01-Jan,Club Atlas
A,Pumas UNAM,01-Jan,FC Juárez
A,Tigres UANL,02-Jan,Club Puebla
A,CF Pachuca,0-1,Club León
A,Club Necaxa,1-0,Mazatlán FC
A,Querétaro FC,1-0,Cruz Azul
A,Club Tijuana,0-2,Atlético San Luis
A,Pumas UNAM,01-Jan,CF Monterrey
A,FC Juárez,0-2,CD Guadalajara Chivas
A,Club Atlas,01-Feb,Deportivo Toluca FC
A,Club América,03-Jan,Santos Laguna
A,Club Puebla,0-1,CF Pachuca
A,CD Guadalajara Chivas,02-Jan,Atlético San Luis
A,CF Monterrey,01-Jan,Club Necaxa
A,Mazatlán FC,0-0,Pumas UNAM
A,Cruz Azul,03-Feb,FC Juárez
A,Deportivo Toluca FC,03-Feb,Tigres UANL
A,Santos Laguna,0-0,Club Atlas
A,Querétaro FC,04-Jan,Club América
A,Club León,02-Jan,Club Tijuana
A,FC Juárez,0-0,Club León
A,Club Necaxa,02-Jan,Santos Laguna
A,Club Atlas,1-0,Querétaro FC
A,Tigres UANL,01-Jan,Pumas UNAM
A,Club América,01-Mar,CF Monterrey
A,Deportivo Toluca FC,1-0,CD Guadalajara Chivas
A,Atlético San Luis,01-Mar,Cruz Azul
A,Club Tijuana,1-0,Club Puebla
A,CF Pachuca,04-Mar,Mazatlán FC
A,Mazatlán FC,01-Jan,Tigres UANL
A,Club Puebla,04-Jan,Deportivo Toluca FC
A,Atlético San Luis,01-Feb,Club América
A,CD Guadalajara Chivas,0-0,CF Pachuca
A,Cruz Azul,3-0,Club Necaxa
A,Pumas UNAM,3-0,Club Tijuana
A,Santos Laguna,02-Jan,Querétaro FC
A,CF Monterrey,02-Jan,FC Juárez
A,Club León,02-Jan,Club Atlas
A,Club América,03-Jan,Mazatlán FC
A,Querétaro FC,04-Jan,Deportivo Toluca FC
A,CF Pachuca,03-Jan,Atlético San Luis
A,Club Necaxa,0-2,Club León
A,FC Juárez,01-Jan,Santos Laguna
A,Club Tijuana,02-Jan,CF Monterrey
A,Pumas UNAM,04-Jan,Club Puebla
A,Club Atlas,1-0,Cruz Azul
A,Tigres UANL,01-Mar,CD Guadalajara Chivas
A,Atlético San Luis,02-Jan,Club Necaxa
A,Deportivo Toluca FC,0-1,FC Juárez
A,CF Monterrey,01-Jan,Club Atlas
A,CD Guadalajara Chivas,01-Jan,Querétaro FC
A,Club Puebla,02-Mar,Club América
A,Club León,01-Jan,Tigres UANL
A,Cruz Azul,1-0,CF Pachuca
A,Santos Laguna,01-Feb,Pumas UNAM
A,Mazatlán FC,1-0,Club Tijuana
A,Club Necaxa,01-Feb,CD Guadalajara Chivas
A,FC Juárez,1-0,Club Puebla
A,Club Atlas,01-Jan,Mazatlán FC
A,Tigres UANL,2-0,Santos Laguna
A,Club América,01-Jan,Deportivo Toluca FC
A,Club Tijuana,01-Feb,Cruz Azul
A,Querétaro FC,02-Mar,Club León
A,Pumas UNAM,3-0,Atlético San Luis
A,CF Pachuca,01-Jan,CF Monterrey
A,Club Necaxa,0-1,Club Puebla
A,Mazatlán FC,02-Mar,Cruz Azul
A,Club América,1-0,CD Guadalajara Chivas
A,Tigres UANL,3-0,Querétaro FC
A,Club Atlas,0-1,CF Pachuca
A,Deportivo Toluca FC,01-Feb,Santos Laguna
A,Atlético San Luis,01-Feb,CF Monterrey
A,Club León,2-0,Pumas UNAM
A,CF Pachuca,0-0,Deportivo Toluca FC
A,Club Puebla,03-Mar,Querétaro FC
A,FC Juárez,0-1,Club Atlas
A,CF Monterrey,0-2,Tigres UANL
A,CD Guadalajara Chivas,02-Jan,Mazatlán FC
A,Pumas UNAM,01-Jan,Club Necaxa
A,Atlético San Luis,0-2,Club León
A,Cruz Azul,0-0,Club América
A,Club Tijuana,02-Jan,FC Juárez
A,Club León,02-Jan,Mazatlán FC
A,Club Puebla,0-2,Santos Laguna
A,Club América,02-Feb,Pumas UNAM
A,Tigres UANL,3-0,Atlético San Luis
A,Club Atlas,0-1,Club Necaxa
A,Club Tijuana,0-0,CD Guadalajara Chivas
A,Deportivo Toluca FC,2-0,Cruz Azul
A,FC Juárez,01-Jan,CF Pachuca
A,Querétaro FC,01-Feb,CF Monterrey
A,Santos Laguna,2-0,Club Tijuana
A,Atlético San Luis,02-Jan,Querétaro FC
A,Club Necaxa,2-0,Club Tijuana
A,Mazatlán FC,03-Feb,FC Juárez
A,Cruz Azul,0-2,Tigres UANL
A,CD Guadalajara Chivas,03-Feb,Club Atlas
A,CF Monterrey,03-Jan,Club Puebla
A,Pumas UNAM,1-0,Deportivo Toluca FC
A,Santos Laguna,01-Jan,CF Pachuca
A,Club León,03-Feb,Club América
A,Club Puebla,01-Feb,Club León
A,Querétaro FC,0-1,Club Necaxa
A,Tigres UANL,01-Jan,FC Juárez
A,Mazatlán FC,01-Feb,CF Monterrey
A,Club América,1-0,Club Atlas
A,Deportivo Toluca FC,01-Jan,Club Tijuana
A,CD Guadalajara Chivas,01-Jan,Cruz Azul
A,Santos Laguna,01-Jan,Atlético San Luis
A,CF Pachuca,01-Jan,Pumas UNAM
A,Atlético San Luis,01-Jan,Mazatlán FC
A,Club Necaxa,01-Jan,Deportivo Toluca FC
A,Club Tijuana,01-Jan,CF Pachuca
A,FC Juárez,01-Jan,Querétaro FC
A,Club Atlas,01-Jan,Club Puebla
A,CF Monterrey,01-Jan,Cruz Azul
A,Pumas UNAM,01-Jan,CD Guadalajara Chivas
A,Club América,01-Jan,Tigres UANL
A,Club León,01-Jan,Santos Laguna
A,FC Juárez,01-Jan,Club América
A,Club Puebla,01-Jan,Atlético San Luis
A,CD Guadalajara Chivas,01-Jan,CF Monterrey
A,Tigres UANL,01-Jan,Club Atlas
A,Cruz Azul,01-Jan,Pumas UNAM
A,Querétaro FC,01-Jan,Club Tijuana
A,Santos Laguna,01-Jan,Mazatlán FC
A,Deportivo Toluca FC,01-Jan,Club León
