Round,Team 1,FT,Team 2
1,CF Monterrey,1-0,Pumas UNAM
1,Querétaro FC,01-Jan,Club América
1,Club Necaxa,02-Feb,Club Puebla
1,Santos Laguna,03-Jan,Tigres UANL
1,Deportivo Toluca FC,3-0,Club Tijuana
1,Monarcas Morelia,01-Jan,CF Pachuca
1,Pumas UNAM,0-1,Querétaro FC
1,Club Puebla,2-0,Club Atlas
1,CD Guadalajara Chivas,1-0,Club Necaxa
1,Cruz Azul,1-0,Deportivo Toluca FC
1,Club León,2-0,Club América
1,Tigres UANL,4-0,Tiburones Rojos Veracruz
1,Club Tijuana,02-Feb,Santos Laguna
1,Lobos BUAP,01-Feb,CF Monterrey
1,Club Atlas,0-1,CD Guadalajara Chivas
1,Club América,02-Feb,Pumas UNAM
1,CF Monterrey,02-Feb,Monarcas Morelia
1,Tiburones Rojos Veracruz,1-0,Club Tijuana
1,Club Necaxa,01-Jan,Tigres UANL
1,CF Pachuca,2-0,Club Puebla
1,Querétaro FC,2-0,Lobos BUAP
1,Deportivo Toluca FC,01-Feb,Club León
1,Santos Laguna,01-Jan,Cruz Azul
1,Monarcas Morelia,01-Apr,Querétaro FC
1,Club Puebla,02-Jan,CF Monterrey
1,Club Tijuana,1-0,Club Necaxa
1,Cruz Azul,04-Jan,Tiburones Rojos Veracruz
1,Club León,01-Feb,Pumas UNAM
1,CD Guadalajara Chivas,01-Mar,CF Pachuca
1,Tigres UANL,03-Jan,Club Atlas
1,Deportivo Toluca FC,02-Jan,Santos Laguna
1,Lobos BUAP,0-2,Club América
1,Tiburones Rojos Veracruz,02-Mar,Deportivo Toluca FC
1,CF Pachuca,01-Jan,Tigres UANL
1,Querétaro FC,0-1,Club Puebla
1,Club América,02-Jan,Monarcas Morelia
1,CF Monterrey,02-Apr,CD Guadalajara Chivas
1,Club Necaxa,2-0,Cruz Azul
1,Pumas UNAM,04-Feb,Lobos BUAP
1,Santos Laguna,3-0,Club León
1,Club Atlas,0-1,Club Tijuana
1,Monarcas Morelia,0-0,Pumas UNAM
1,Club Puebla,02-Mar,Club América
1,Deportivo Toluca FC,03-Feb,Club Necaxa
1,Club Tijuana,1-0,CF Pachuca
1,Cruz Azul,2-0,Club Atlas
1,Club León,0-1,Lobos BUAP
1,CD Guadalajara Chivas,01-Jan,Querétaro FC
1,Santos Laguna,01-Jan,Tiburones Rojos Veracruz
1,Tigres UANL,0-0,CF Monterrey
2,Tiburones Rojos Veracruz,0-4,Club León
2,Club Atlas,2-0,Deportivo Toluca FC
2,CF Monterrey,3-0,Club Tijuana
2,CF Pachuca,03-Jan,Cruz Azul
2,Club Necaxa,0-1,Santos Laguna
2,Querétaro FC,0-2,Tigres UANL
2,Pumas UNAM,02-Feb,Club Puebla
2,Club América,01-Jan,CD Guadalajara Chivas
2,Lobos BUAP,03-Jan,Monarcas Morelia
2,Santos Laguna,03-Jan,Club Atlas
2,Tiburones Rojos Veracruz,0-0,Club Necaxa
2,Club León,01-Feb,Monarcas Morelia
2,Cruz Azul,02-Jan,CF Monterrey
2,Club Tijuana,01-Jan,Querétaro FC
2,CD Guadalajara Chivas,01-Feb,Pumas UNAM
2,Tigres UANL,02-Mar,Club América
2,Deportivo Toluca FC,02-Jan,CF Pachuca
2,Club Puebla,02-Feb,Lobos BUAP
2,Club Atlas,04-Mar,Tiburones Rojos Veracruz
2,Querétaro FC,2-0,Cruz Azul
2,CF Pachuca,01-Jan,Santos Laguna
2,Club América,3-0,Club Tijuana
2,Club Necaxa,0-2,Club León
2,CF Monterrey,02-Jan,Deportivo Toluca FC
2,Lobos BUAP,01-Jan,CD Guadalajara Chivas
2,Pumas UNAM,03-Mar,Tigres UANL
2,Monarcas Morelia,2-0,Club Puebla
2,Tiburones Rojos Veracruz,02-Mar,CF Pachuca
2,Santos Laguna,1-0,CF Monterrey
