Stage,Round,Team 1,FT,Team 2
A,2,CD Guadalajara Chivas,01-Feb,Monarcas Morelia
A,2,Cruz Azul,0-0,Club América
A,2,Club Tijuana,0-1,Pumas UNAM
A,2,Deportivo Toluca FC,4-0,Querétaro FC
A,2,Club León,0-4,Club Puebla
A,2,Monarcas Morelia,0-2,Tigres UANL
A,2,Club Puebla,02-Feb,CD Guadalajara Chivas
A,2,CF Pachuca,06-Feb,Club Necaxa
A,2,Club América,01-Jan,Deportivo Toluca FC
A,2,CF Monterrey,2-0,Tiburones Rojos Veracruz
A,2,Lobos BUAP,03-Jan,Club Tijuana
A,2,Pumas UNAM,01-Feb,Cruz Azul
A,2,Querétaro FC,02-Jan,Santos Laguna
A,2,Club Atlas,0-0,Club León
A,2,Tiburones Rojos Veracruz,02-Feb,Querétaro FC
A,2,Club Atlas,0-0,CF Pachuca
A,2,Club León,0-1,CD Guadalajara Chivas
A,2,Cruz Azul,02-Jan,Lobos BUAP
A,2,Club Tijuana,02-Mar,Monarcas Morelia
A,2,Club Necaxa,01-Jan,CF Monterrey
A,2,Tigres UANL,06-Jan,Club Puebla
A,2,Deportivo Toluca FC,0-1,Pumas UNAM
A,2,Santos Laguna,01-Jan,Club América
A,2,Monarcas Morelia,0-2,Cruz Azul
A,2,Club Puebla,0-0,Club Tijuana
A,2,Querétaro FC,1-0,Club Necaxa
A,2,CF Pachuca,01-Jan,Club León
A,2,CF Monterrey,03-Jan,Club Atlas
A,2,CD Guadalajara Chivas,0-1,Tigres UANL
A,2,Club América,04-Jan,Tiburones Rojos Veracruz
A,2,Pumas UNAM,01-Jan,Santos Laguna
A,2,Lobos BUAP,2-0,Deportivo Toluca FC
B,2,CF Monterrey,1-0,Santos Laguna
B,2,Querétaro FC,0-2,Cruz Azul
B,2,Tigres UANL,02-Jan,Pumas UNAM
B,2,Deportivo Toluca FC,02-Feb,Club América
B,2,Cruz Azul,01-Jan,Querétaro FC
B,2,Santos Laguna,0-2,CF Monterrey
B,2,Club América,03-Feb,Deportivo Toluca FC
B,2,Pumas UNAM,03-Jan,Tigres UANL
B,2,CF Monterrey,1-0,Cruz Azul
B,2,Pumas UNAM,01-Jan,Club América
B,2,Cruz Azul,1-0,CF Monterrey
B,2,Club América,06-Jan,Pumas UNAM
B,2,Club América,0-0,Cruz Azul
B,2,Cruz Azul,0-2,Club América
B,1,Club Puebla,01-Jan,Cruz Azul
B,1,Monarcas Morelia,01-Mar,Deportivo Toluca FC
B,1,Querétaro FC,01-Feb,Club Atlas
B,1,CF Monterrey,5-0,CF Pachuca
B,1,CD Guadalajara Chivas,2-0,Club Tijuana
B,1,Club León,02-Feb,Tigres UANL
B,1,Lobos BUAP,2-0,Santos Laguna
B,1,Pumas UNAM,0-0,Tiburones Rojos Veracruz
B,1,Club Atlas,01-Feb,Club América
B,1,Tiburones Rojos Veracruz,0-1,Lobos BUAP
B,1,Club Tijuana,0-3,Tigres UANL
B,1,Club Necaxa,02-Jan,Pumas UNAM
B,1,Cruz Azul,0-1,CD Guadalajara Chivas
B,1,CF Pachuca,3-0,Querétaro FC
B,1,CF Monterrey,02-Feb,Club León
B,1,Santos Laguna,1-0,Monarcas Morelia
B,1,Deportivo Toluca FC,2-0,Club Puebla
B,1,Monarcas Morelia,2-0,Tiburones Rojos Veracruz
B,1,Club Puebla,01-Jan,Santos Laguna
B,1,Club América,3-0,CF Pachuca
B,1,Querétaro FC,01-Feb,CF Monterrey
B,1,Tigres UANL,0-1,Cruz Azul
B,1,Club León,0-1,Club Tijuana
B,1,Pumas UNAM,02-Feb,Club Atlas
B,1,Lobos BUAP,02-Mar,Club Necaxa
B,1,CD Guadalajara Chivas,1-0,Deportivo Toluca FC
B,1,Club Atlas,03-Jan,Lobos BUAP
B,1,Tiburones Rojos Veracruz,0-1,Club Puebla
B,1,Club Necaxa,0-0,Monarcas Morelia
B,1,Cruz Azul,1-0,Club Tijuana
B,1,CF Monterrey,03-Feb,Club América
B,1,CF Pachuca,1-0,Pumas UNAM
B,1,Querétaro FC,0-4,Club León
B,1,Deportivo Toluca FC,0-1,Tigres UANL
B,1,Santos Laguna,1-0,CD Guadalajara Chivas
B,1,Monarcas Morelia,01-Feb,Club Atlas
B,1,Club Puebla,01-Apr,Club Necaxa
B,1,Club Tijuana,2-0,Deportivo Toluca FC
B,1,Club América,2-0,Querétaro FC
B,1,Club León,2-0,Cruz Azul
B,1,Tigres UANL,02-Jan,Santos Laguna
B,1,Lobos BUAP,01-Jan,CF Pachuca
B,1,Pumas UNAM,01-Jan,CF Monterrey
B,1,CD Guadalajara Chivas,0-0,Tiburones Rojos Veracruz
B,1,Tiburones Rojos Veracruz,0-2,Tigres UANL
B,1,Club Atlas,01-Feb,Club Puebla
B,1,CF Monterrey,4-0,Lobos BUAP
B,1,Querétaro FC,0-2,Pumas UNAM
B,1,Club Necaxa,03-Mar,CD Guadalajara Chivas
B,1,Club América,0-3,Club León
B,1,CF Pachuca,2-0,Monarcas Morelia
B,1,Deportivo Toluca FC,01-Jan,Cruz Azul
B,1,Santos Laguna,01-Jan,Club Tijuana
B,1,Monarcas Morelia,02-Mar,CF Monterrey
B,1,Club Puebla,01-Jan,CF Pachuca
B,1,Club Tijuana,3-0,Tiburones Rojos Veracruz
B,1,Cruz Azul,01-Feb,Santos Laguna
B,1,CD Guadalajara Chivas,3-0,Club Atlas
B,1,Club León,3-0,Deportivo Toluca FC
B,1,Tigres UANL,03-Feb,Club Necaxa
B,1,Lobos BUAP,03-Jan,Querétaro FC
B,1,Pumas UNAM,1-0,Club América
B,1,Club Atlas,0-1,Tigres UANL
B,1,Tiburones Rojos Veracruz,01-Jan,Cruz Azul
B,1,Querétaro FC,3-0,Monarcas Morelia
B,1,Club Necaxa,01-Feb,Club Tijuana
B,1,Club América,3-0,Lobos BUAP
B,1,CF Monterrey,0-0,Club Puebla
B,1,CF Pachuca,03-Jan,CD Guadalajara Chivas
B,1,Santos Laguna,4-0,Deportivo Toluca FC
B,1,Pumas UNAM,01-Mar,Club León
B,1,Monarcas Morelia,02-Feb,Club América
B,1,Club Tijuana,03-Jan,Club Atlas
B,1,Cruz Azul,02-Jan,Club Necaxa
B,1,CD Guadalajara Chivas,0-2,CF Monterrey
B,1,Tigres UANL,3-0,CF Pachuca
B,1,Club León,3-0,Santos Laguna
B,1,Deportivo Toluca FC,03-Jan,Tiburones Rojos Veracruz
B,1,Lobos BUAP,02-Jan,Pumas UNAM
B,1,Club Puebla,1-0,Querétaro FC
B,1,Club América,01-Mar,Club Necaxa
B,1,Tiburones Rojos Veracruz,02-Feb,Santos Laguna
B,1,Club Atlas,0-2,Cruz Azul
B,1,Querétaro FC,0-0,CD Guadalajara Chivas
B,1,CF Pachuca,4-0,Club Tijuana
B,1,CF Monterrey,01-Jan,Tigres UANL
B,1,Club Necaxa,01-Jan,Deportivo Toluca FC
B,1,Club América,1-0,Club Puebla
B,1,Pumas UNAM,02-Feb,Monarcas Morelia
